txnno,txndate,custno,amount,category,product,city,state,spendby
00047964,12-22-2011,4008226,179.08,Outdoor Play Equipment,Swing Sets,San Jose,California,credit
00047965,08-16-2011,4004071,152.16,Exercise & Fitness,Weightlifting Machines,Orange,California,credit
00047966,01-09-2011,4007572,090.18,Combat Sports,Fencing,Irvine,California,credit
00047967,09-19-2011,4005956,053.43,Exercise & Fitness,Medicine Balls,New York,New York,credit
00047968,03-21-2011,4008960,192.13,Exercise & Fitness,Yoga & Pilates,Long Beach,California,credit
00047969,03-16-2011,4006851,010.35,Outdoor Recreation,Fishing,Milwaukee,Wisconsin,cash
00047970,10-10-2011,4006580,192.08,Air Sports,Parachutes,Dallas,Texas,credit
00047971,08-04-2011,4004035,146.60,Air Sports,Hang Gliding,Kansas City,Missouri,credit
00047972,08-31-2011,4007160,058.01,Outdoor Recreation,Deck Shuffleboard,Dayton,Ohio,credit
00047973,10-09-2011,4003919,125.08,Team Sports,Field Hockey,Paterson,New Jersey,credit
00047974,07-25-2011,4009950,141.00,Indoor Games,Bowling,Westminster,Colorado,credit
00047975,05-17-2011,4004944,059.85,Air Sports,Hang Gliding,Eugene,Oregon,credit
00047976,07-28-2011,4006623,030.74,Exercise & Fitness,Jump Ropes,Centennial,Colorado,cash
00047977,02-16-2011,4005181,124.03,Exercise & Fitness,Weightlifting Belts,San Francisco,California,credit
00047978,09-26-2011,4004127,123.45,Indoor Games,Foosball,Pasadena,Texas,credit
00047979,01-15-2011,4005342,036.40,Outdoor Recreation,Equestrian,Austin,Texas,cash
00047980,07-22-2011,4004764,131.91,Exercise & Fitness,Foam Rollers,Phoenix,Arizona,credit
00047981,06-13-2011,4004189,057.81,Water Sports,Boating,Gilbert,Arizona,credit
00047982,12-08-2011,4001646,149.20,Outdoor Recreation,Equestrian,Anaheim,California,credit
00047983,09-10-2011,4008622,197.06,Gymnastics,Gymnastics Mats,Centennial,Colorado,credit
00047984,11-27-2011,4004813,169.24,Winter Sports,Downhill Skiing,Bellevue,Washington,credit
00047985,03-31-2011,4001665,131.32,Exercise & Fitness,Free Weight Bars,Salem,Oregon,credit
00047986,12-11-2011,4009144,192.74,Combat Sports,Boxing,Louisville,Kentucky,credit
00047987,01-23-2011,4001593,100.74,Jumping,Trampoline Accessories,Sacramento,California,credit
00047988,06-24-2011,4007930,150.83,Outdoor Recreation,Cycling,Salem,Oregon,credit
00047989,02-13-2011,4003917,135.87,Outdoor Play Equipment,Sandboxes,Chicago,Illinois,credit
00047990,07-17-2011,4000050,198.08,Winter Sports,Sledding,Plano,Texas,credit
00047991,03-01-2011,4001146,085.48,Gymnastics,Gymnastics Mats,Irvine,California,credit
00047992,09-21-2011,4004078,158.02,Exercise & Fitness,Gym Mats,Columbia,Missouri,credit
00047993,11-04-2011,4006899,080.55,Outdoor Play Equipment,Playhouses,Alexandria  ,Virginia,credit
00047994,01-18-2011,4008416,027.47,Games,Dice & Dice Sets,Santa Ana,California,cash
00047995,04-06-2011,4005891,091.66,Exercise & Fitness,Exercise Bands,Buffalo,New York,credit
00047996,04-29-2011,4002400,069.73,Winter Sports,Luge,Berkeley,California,credit
00047997,06-07-2011,4001655,154.95,Jumping,Pogo Sticks,Coral Springs,Florida,credit
00047998,11-10-2011,4002471,158.32,Water Sports,Wetsuits,Reno,Nevada,credit
00047999,01-15-2011,4000140,102.25,Racquet Sports,Squash,Paterson,New Jersey,credit
00048000,02-18-2011,4008536,087.51,Games,Dominoes,McKinney,Texas,credit
00048001,10-07-2011,4004965,108.60,Indoor Games,Bowling,Hartford,Connecticut,credit
00048002,06-10-2011,4004626,080.26,Combat Sports,Wrestling,Huntsville,Alabama,credit
00048003,02-24-2011,4005713,101.96,Outdoor Recreation,Fishing,Chattanooga,Tennessee,credit
00048004,10-12-2011,4004665,062.80,Air Sports,Air Suits,Des Moines,Iowa,credit
00048005,01-03-2011,4003829,140.27,Outdoor Play Equipment,Sandboxes,Berkeley,California,credit
00048006,08-24-2011,4001713,074.99,Outdoor Play Equipment,Playhouses,Omaha,Nebraska,credit
00048007,06-23-2011,4005202,150.20,Team Sports,Team Handball,Hartford,Connecticut,credit
00048008,06-15-2011,4008634,096.48,Gymnastics,Gymnastics Protective Gear,Long Beach,California,credit
00048009,02-01-2011,4004342,043.57,Outdoor Recreation,Deck Shuffleboard,Minneapolis,Minnesota,credit
00048010,05-02-2011,4007158,031.49,Water Sports,Life Jackets,Anaheim,California,credit
00048011,12-07-2011,4001050,109.07,Team Sports,Football,San Antonio,Texas,credit
00048012,10-07-2011,4000319,190.13,Racquet Sports,Racquetball,Columbia,South Carolina,credit
00048013,07-27-2011,4005349,152.89,Combat Sports,Boxing,New Orleans,Louisiana,credit
00048014,04-17-2011,4005606,032.07,Outdoor Play Equipment,Sandboxes,Columbia,Missouri,credit
00048015,02-16-2011,4007545,005.79,Outdoor Recreation,Ice Climbing,Jersey City,New Jersey,credit
00048016,08-07-2011,4009462,039.07,Outdoor Recreation,Motorsports,Jacksonville ,Florida,credit
00048017,08-25-2011,4006158,056.22,Outdoor Play Equipment,Outdoor Playsets,Long Beach,California,credit
00048018,07-09-2011,4009997,106.78,Outdoor Play Equipment,Slides,Orange,California,credit
00048019,12-28-2011,4007875,089.67,Winter Sports,Luge,Chattanooga,Tennessee,credit
00048020,01-22-2011,4008956,059.16,Exercise & Fitness,Weightlifting Machine Accessories,Irving,Texas,credit
00048021,03-25-2011,4009724,094.08,Team Sports,Football,Huntsville,Alabama,credit
00048022,09-28-2011,4007670,043.81,Water Sports,Surfing,Memphis,Tennessee,credit
00048023,05-27-2011,4003799,021.72,Jumping,Bungee Jumping,Brownsville,Texas,credit
00048024,05-29-2011,4006139,066.90,Water Sports,Life Jackets,San Francisco,California,credit
00048025,11-20-2011,4007128,075.96,Gymnastics,Gymnastics Bars,Seattle,Washington,credit
00048026,10-31-2011,4009512,032.88,Team Sports,Cheerleading,Columbus,Ohio,credit
00048027,09-29-2011,4000490,090.30,Exercise & Fitness,Exercise Balls,Gilbert,Arizona,credit
00048028,12-12-2011,4001927,041.35,Jumping,Trampolines,Chattanooga,Tennessee,credit
00048029,01-13-2011,4003714,172.75,Exercise & Fitness,Weightlifting Gloves,Hampton  ,Virginia,credit
00048030,07-23-2011,4008727,180.71,Jumping,Bungee Jumping,Chicago,Illinois,credit
00048031,09-24-2011,4009888,034.03,Team Sports,Beach Volleyball,Memphis,Tennessee,credit
00048032,05-16-2011,4002163,006.52,Indoor Games,Bowling,Reno,Nevada,credit
00048033,09-04-2011,4006972,025.77,Exercise & Fitness,Weightlifting Belts,Detroit,Michigan,credit
00048034,07-18-2011,4001805,154.26,Exercise & Fitness,Medicine Balls,Omaha,Nebraska,credit
00048035,12-24-2011,4009057,078.03,Team Sports,Curling,Des Moines,Iowa,credit
00048036,12-14-2011,4006439,193.75,Jumping,Pogo Sticks,Las Vegas,Nevada,credit
00048037,02-04-2011,4007441,019.77,Winter Sports,Cross-Country Skiing,Coral Springs,Florida,credit
00048038,01-10-2011,4004084,016.97,Combat Sports,Fencing,Boise,Idaho,credit
00048039,07-06-2011,4004055,027.11,Exercise & Fitness,Cardio Machine Accessories,Charlotte,North Carolina,credit
00048040,06-02-2011,4005799,140.94,Racquet Sports,Squash,Washington,District of Columbia,credit
00048041,02-13-2011,4004464,053.95,Indoor Games,Bowling,West Valley City,Utah,credit
00048042,03-11-2011,4000956,116.53,Outdoor Recreation,Geocaching,Fremont,California,credit
00048043,11-21-2011,4007643,029.09,Water Sports,Scuba Diving & Snorkeling,Jersey City,New Jersey,cash
00048044,11-23-2011,4002628,103.71,Combat Sports,Wrestling,Lowell,Massachusetts,credit
00048045,11-10-2011,4001797,136.51,Gymnastics,Gymnastics Mats,St. Petersburg,Florida,credit
00048046,05-19-2011,4004123,044.86,Outdoor Recreation,Skating,Madison,Wisconsin,cash
00048047,08-13-2011,4005866,113.70,Exercise & Fitness,Jump Ropes,Montgomery,Alabama,credit
00048048,09-03-2011,4009213,007.96,Exercise & Fitness,Cardio Machine Accessories,Durham,North Carolina,cash
00048049,07-14-2011,4008843,184.80,Jumping,Pogo Sticks,Dayton,Ohio,credit
00048050,07-18-2011,4004144,126.41,Indoor Games,Bowling,New Orleans,Louisiana,credit
00048051,05-04-2011,4008638,176.73,Jumping,Trampoline Accessories,Kansas City,Kansas,credit
00048052,11-22-2011,4009398,193.69,Air Sports,Air Suits,Vancouver,Washington,credit
00048053,05-29-2011,4004184,054.00,Team Sports,Softball,Richmond  ,Virginia,credit
00048054,07-13-2011,4005221,144.99,Outdoor Recreation,Track & Field,Bellevue,Washington,credit
00048055,08-09-2011,4008022,165.86,Air Sports,Parachutes,Colorado Springs,Colorado,credit
00048056,05-20-2011,4006355,066.68,Air Sports,Parachutes,Kansas City,Kansas,credit
00048057,01-21-2011,4009644,028.71,Indoor Games,Billiards,Westminster,Colorado,cash
00048058,10-06-2011,4005122,097.02,Gymnastics,Springboards,Green Bay,Wisconsin,credit
00048059,02-18-2011,4001075,023.93,Outdoor Recreation,Skateboarding,McKinney,Texas,cash
00048060,01-31-2011,4004461,196.98,Combat Sports,Wrestling,Pittsburgh,Pennsylvania,credit
00048061,10-16-2011,4006451,107.48,Games,Portable Electronic Games,Orlando,Florida,credit
00048062,12-01-2011,4007628,195.79,Outdoor Recreation,Fishing,Coral Springs,Florida,credit
00048063,01-27-2011,4009061,066.53,Team Sports,Softball,Columbia,Missouri,credit
00048064,06-07-2011,4005056,017.29,Gymnastics,Gymnastics Bars,Midland,Texas,cash
00048065,08-02-2011,4008901,020.96,Games,Dominoes,Hampton  ,Virginia,cash
00048066,11-24-2011,4004569,030.55,Outdoor Recreation,Disc Golf,Durham,North Carolina,cash
00048067,04-27-2011,4000138,039.76,Team Sports,Softball,New York,New York,cash
00048068,02-02-2011,4003610,118.79,Winter Sports,Downhill Skiing,Brownsville,Texas,credit
00048069,10-29-2011,4001483,130.32,Team Sports,Hockey,Plano,Texas,credit
00048070,04-29-2011,4002116,153.56,Jumping,Pogo Sticks,Pittsburgh,Pennsylvania,credit
00048071,09-12-2011,4000259,040.20,Water Sports,Whitewater Rafting,Boston,Massachusetts,cash
00048072,02-11-2011,4006295,088.11,Indoor Games,Air Hockey,Atlanta,Georgia,credit
00048073,01-09-2011,4007407,052.50,Gymnastics,Balance Beams,Pasadena,California,credit
00048074,04-16-2011,4005178,164.61,Team Sports,Football,Salem,Oregon,credit
00048075,10-03-2011,4001906,062.31,Indoor Games,Table Shuffleboard,Lowell,Massachusetts,credit
00048076,07-31-2011,4009331,076.10,Combat Sports,Wrestling,Santa Ana,California,credit
00048077,10-30-2011,4004485,119.58,Jumping,Pogo Sticks,Dayton,Ohio,credit
00048078,10-11-2011,4008677,103.75,Exercise & Fitness,Foam Rollers,Baltimore,Maryland,credit
00048079,12-24-2011,4004474,179.74,Racquet Sports,Racquetball,Jersey City,New Jersey,credit
00048080,02-06-2011,4008686,147.34,Water Sports,Water Tubing,Columbia,Missouri,credit
00048081,12-28-2011,4006797,179.40,Indoor Games,Foosball,Dallas,Texas,credit
00048082,07-31-2011,4004314,041.98,Exercise & Fitness,Exercise Balls,Des Moines,Iowa,cash
00048083,07-07-2011,4002155,179.66,Winter Sports,Downhill Skiing,Cincinnati,Ohio,credit
00048084,06-11-2011,4000690,138.06,Indoor Games,Billiards,Westminster,Colorado,credit
00048085,03-16-2011,4009784,174.54,Puzzles,Jigsaw Puzzles,Oakland,California,credit
00048086,12-03-2011,4008572,052.58,Winter Sports,Cross-Country Skiing,Miami,Florida,credit
00048087,09-30-2011,4009075,090.32,Outdoor Recreation,Geocaching,Columbia,Missouri,credit
00048088,10-01-2011,4002223,126.19,Indoor Games,Darts,Minneapolis,Minnesota,credit
00048089,07-23-2011,4008561,151.72,Outdoor Recreation,Riding Scooters,Nashville  ,Tennessee,credit
00048090,05-03-2011,4004592,197.36,Racquet Sports,Racquetball,Los Angeles,California,credit
00048091,11-06-2011,4009845,159.24,Outdoor Recreation,Riding Scooters,Kansas City,Missouri,credit
00048092,05-08-2011,4009206,167.92,Outdoor Recreation,Shooting Games,Green Bay,Wisconsin,credit
00048093,12-06-2011,4009690,178.15,Winter Sports,Downhill Skiing,Los Angeles,California,credit
00048094,06-11-2011,4000752,056.97,Puzzles,Jigsaw Puzzles,Orlando,Florida,credit
00048095,11-01-2011,4008899,010.25,Air Sports,Parachutes,Gresham,Oregon,cash
00048096,04-02-2011,4001352,023.21,Outdoor Play Equipment,Water Tables,Reno,Nevada,cash
00048097,07-30-2011,4004381,010.98,Water Sports,Life Jackets,Columbia,South Carolina,cash
00048098,06-29-2011,4002110,063.37,Winter Sports,Snowboarding,Paterson,New Jersey,credit
00048099,10-08-2011,4001455,174.62,Team Sports,Lacrosse,Everett,Washington,credit
00048100,11-06-2011,4005074,105.90,Water Sports,Surfing,Flint,Michigan,credit
00048101,04-17-2011,4009556,130.18,Games,Bingo Sets,Paterson,New Jersey,credit
00048102,05-31-2011,4000890,169.46,Water Sports,Life Jackets,Richmond  ,Virginia,credit
00048103,08-15-2011,4000257,136.85,Outdoor Recreation,Tetherball,Austin,Texas,credit
00048104,03-03-2011,4000140,148.97,Water Sports,Bodyboarding,Boise,Idaho,credit
00048105,09-01-2011,4005498,154.56,Water Sports,Windsurfing,Atlanta,Georgia,credit
00048106,02-20-2011,4006717,177.06,Water Sports,Scuba Diving & Snorkeling,Centennial,Colorado,credit
00048107,06-26-2011,4008500,167.43,Games,Dice Games,Houston,Texas,credit
00048108,03-04-2011,4008676,011.24,Water Sports,Life Jackets,San Antonio,Texas,credit
00048109,05-28-2011,4009279,139.47,Racquet Sports,Badminton,Irvine,California,credit
00048110,09-13-2011,4006106,113.67,Games,Dice & Dice Sets,Irvine,California,credit
00048111,04-05-2011,4003050,199.89,Winter Sports,Downhill Skiing,Memphis,Tennessee,credit
00048112,06-09-2011,4000107,173.54,Combat Sports,Wrestling,Salem,Oregon,credit
00048113,01-17-2011,4006724,093.67,Water Sports,Windsurfing,Columbus,Georgia,credit
00048114,05-18-2011,4008899,046.54,Winter Sports,Snowboarding,Hartford,Connecticut,credit
00048115,03-25-2011,4001007,106.11,Water Sports,Towed Water Sports,Berkeley,California,credit
00048116,05-25-2011,4009433,010.51,Exercise & Fitness,Free Weight Bars,Flint,Michigan,credit
00048117,06-03-2011,4007638,106.58,Outdoor Play Equipment,Water Tables,San Jose,California,credit
00048118,10-07-2011,4006184,019.29,Water Sports,Water Tubing,Las Vegas,Nevada,credit
00048119,10-16-2011,4003315,008.18,Water Sports,Windsurfing,Philadelphia,Pennsylvania,credit
00048120,11-25-2011,4002788,073.25,Outdoor Play Equipment,Water Tables,Stamford,Connecticut,credit
00048121,08-05-2011,4000393,055.63,Outdoor Recreation,Shooting Games,Midland,Texas,credit
00048122,03-24-2011,4007689,051.40,Outdoor Recreation,Skating,Pasadena,Texas,credit
00048123,03-31-2011,4000859,136.66,Team Sports,Field Hockey,Sacramento,California,credit
00048124,09-22-2011,4002232,152.88,Outdoor Play Equipment,Lawn Water Slides,Hampton  ,Virginia,credit
00048125,06-16-2011,4004054,151.79,Exercise & Fitness,Medicine Balls,Springfield,Illinois,credit
00048126,07-01-2011,4007287,084.81,Outdoor Recreation,Camping & Backpacking & Hiking,Colorado Springs,Colorado,credit
00048127,07-11-2011,4008588,184.21,Racquet Sports,Tennis,Miami,Florida,credit
00048128,10-29-2011,4008824,076.91,Outdoor Recreation,Ice Climbing,Miami,Florida,credit
00048129,12-20-2011,4001900,074.77,Gymnastics,Gymnastics Protective Gear,Columbia,South Carolina,credit
00048130,10-27-2011,4007911,199.32,Team Sports,Lacrosse,Bellevue,Washington,credit
00048131,12-17-2011,4005565,059.45,Games,Bingo Sets,Cambridge,Massachusetts,credit
00048132,12-09-2011,4005915,026.91,Combat Sports,Martial Arts,Houston,Texas,credit
00048133,08-01-2011,4005181,162.17,Water Sports,Wetsuits,Sacramento,California,credit
00048134,11-22-2011,4008551,009.42,Outdoor Recreation,Riding Scooters,Boston,Massachusetts,credit
00048135,04-17-2011,4000397,010.13,Games,Card Games,Colorado Springs,Colorado,credit
00048136,02-12-2011,4008043,075.22,Team Sports,Hockey,Green Bay,Wisconsin,credit
00048137,08-24-2011,4009180,040.08,Games,Dice & Dice Sets,New Orleans,Louisiana,credit
00048138,05-28-2011,4008290,114.77,Puzzles,Jigsaw Puzzles,Sunnyvale,California,credit
00048139,08-08-2011,4005829,149.94,Outdoor Play Equipment,Sandboxes,Sunnyvale,California,credit
00048140,04-27-2011,4009400,187.09,Puzzles,Jigsaw Puzzles,Omaha,Nebraska,credit
00048141,06-15-2011,4007838,195.22,Games,Bingo Sets,Kansas City,Missouri,credit
00048142,10-10-2011,4009022,059.81,Outdoor Play Equipment,Swing Sets,New Orleans,Louisiana,credit
00048143,07-19-2011,4005452,082.34,Outdoor Recreation,Skating,Memphis,Tennessee,credit
00048144,02-04-2011,4007961,176.18,Outdoor Recreation,Rock Climbing,Houston,Texas,credit
00048145,02-03-2011,4003350,121.38,Outdoor Recreation,Equestrian,West Valley City,Utah,credit
00048146,10-28-2011,4005705,199.81,Outdoor Recreation,Archery,Seattle,Washington,credit
00048147,10-02-2011,4000513,124.81,Outdoor Recreation,Geocaching,New Orleans,Louisiana,credit
00048148,08-07-2011,4005758,077.16,Team Sports,Beach Volleyball,Paterson,New Jersey,credit
00048149,06-11-2011,4007554,015.34,Exercise & Fitness,Weight Benches,Irvine,California,cash
00048150,11-08-2011,4001936,030.82,Gymnastics,Vaulting Horses,Salem,Oregon,cash
00048151,05-18-2011,4006524,165.44,Water Sports,Wetsuits,Boston,Massachusetts,credit
00048152,01-25-2011,4000537,042.76,Team Sports,Team Handball,Jacksonville ,Florida,cash
00048153,08-07-2011,4001729,069.79,Games,Bingo Sets,Cambridge,Massachusetts,credit
00048154,07-23-2011,4005472,055.40,Winter Sports,Snowmobiling,Clarksville,Tennessee,credit
00048155,09-08-2011,4006506,123.75,Outdoor Play Equipment,Lawn Water Slides,Irvine,California,credit
00048156,10-01-2011,4007384,055.92,Games,Board Games,Brownsville,Texas,credit
00048157,04-24-2011,4006705,182.99,Water Sports,Life Jackets,Oakland,California,credit
00048158,09-27-2011,4004678,013.01,Water Sports,Boating,Stamford,Connecticut,cash
00048159,11-12-2011,4002584,040.47,Gymnastics,Gymnastics Bars,Indianapolis ,Indiana,cash
00048160,02-04-2011,4006603,158.03,Outdoor Recreation,Cycling,El Paso,Texas,credit
00048161,05-29-2011,4008054,031.61,Water Sports,Wetsuits,Philadelphia,Pennsylvania,cash
00048162,06-20-2011,4004925,050.67,Winter Sports,Bobsledding,Richmond  ,Virginia,credit
00048163,06-11-2011,4005238,021.13,Team Sports,Baseball,Birmingham,Alabama,cash
00048164,08-19-2011,4005791,165.19,Jumping,Trampolines,Colorado Springs,Colorado,credit
00048165,10-13-2011,4001491,145.46,Water Sports,Wetsuits,Cleveland,Ohio,credit
00048166,10-30-2011,4007936,103.87,Exercise & Fitness,Free Weight Bars,Austin,Texas,credit
00048167,06-14-2011,4000098,075.54,Indoor Games,Bowling,Anaheim,California,credit
00048168,08-06-2011,4005198,021.67,Exercise & Fitness,Exercise Balls,Sunnyvale,California,cash
00048169,02-13-2011,4001949,104.01,Team Sports,Cricket,Las Vegas,Nevada,credit
00048170,10-19-2011,4005084,081.17,Outdoor Recreation,Deck Shuffleboard,Plano,Texas,credit
00048171,11-25-2011,4004746,060.04,Outdoor Recreation,Motorsports,Columbia,Missouri,credit
00048172,10-28-2011,4005490,027.96,Games,Poker Chips & Sets,New York,New York,cash
00048173,08-06-2011,4005267,136.57,Indoor Games,Air Hockey,Buffalo,New York,credit
00048174,02-08-2011,4005043,148.06,Outdoor Recreation,Cycling,Jackson,Mississippi,credit
00048175,02-17-2011,4002865,051.35,Outdoor Recreation,Rock Climbing,Boise,Idaho,credit
00048176,10-20-2011,4009480,030.33,Team Sports,Soccer,Hartford,Connecticut,cash
00048177,08-03-2011,4002687,199.06,Jumping,Jumping Stilts,Scottsdale,Arizona,credit
00048178,02-26-2011,4004084,135.88,Outdoor Play Equipment,Water Tables,Chicago,Illinois,credit
00048179,06-11-2011,4006613,195.58,Exercise & Fitness,Abdominal Equipment,Charleston,South Carolina,credit
00048180,03-14-2011,4009533,023.93,Outdoor Recreation,Deck Shuffleboard,El Paso,Texas,cash
00048181,11-09-2011,4007842,091.57,Games,Dice Games,Westminster,Colorado,credit
00048182,04-07-2011,4003104,055.92,Exercise & Fitness,Yoga & Pilates,Clarksville,Tennessee,credit
00048183,09-23-2011,4005473,087.20,Exercise & Fitness,Weightlifting Gloves,Eugene,Oregon,credit
00048184,02-21-2011,4001530,193.52,Outdoor Recreation,Skating,San Francisco,California,credit
00048185,10-04-2011,4008522,077.04,Team Sports,Cricket,Jackson,Mississippi,credit
00048186,06-04-2011,4002002,126.67,Jumping,Bungee Jumping,Dallas,Texas,credit
00048187,11-23-2011,4004862,067.43,Water Sports,Wetsuits,Columbia,Missouri,credit
00048188,01-02-2011,4006815,038.10,Air Sports,Parachutes,Plano,Texas,cash
00048189,10-15-2011,4009153,142.27,Outdoor Recreation,Golf,Overland Park,Kansas,credit
00048190,10-12-2011,4006712,128.13,Outdoor Recreation,Ice Climbing,New Orleans,Louisiana,credit
00048191,07-20-2011,4000594,152.42,Indoor Games,Billiards,El Paso,Texas,credit
00048192,01-13-2011,4004004,194.79,Combat Sports,Fencing,Memphis,Tennessee,credit
00048193,02-27-2011,4009478,043.07,Games,Dominoes,Dallas,Texas,cash
00048194,12-04-2011,4002821,187.44,Water Sports,Whitewater Rafting,Everett,Washington,credit
00048195,10-26-2011,4009869,010.88,Winter Sports,Downhill Skiing,Hartford,Connecticut,cash
00048196,07-16-2011,4007443,121.95,Gymnastics,Balance Beams,Tampa,Florida,credit
00048197,03-11-2011,4008723,091.12,Water Sports,Water Polo,Salem,Oregon,credit
00048198,09-23-2011,4000294,083.33,Indoor Games,Air Hockey,Coral Springs,Florida,credit
00048199,02-12-2011,4009356,156.47,Outdoor Recreation,Archery,Boston,Massachusetts,credit
00048200,10-08-2011,4007883,092.49,Exercise & Fitness,Free Weights,Charlotte,North Carolina,credit
00048201,12-24-2011,4000983,120.44,Team Sports,Soccer,Bellevue,Washington,credit
00048202,03-23-2011,4000308,164.01,Water Sports,Kitesurfing,Springfield,Illinois,credit
00048203,05-31-2011,4004162,054.10,Outdoor Recreation,Skating,Vancouver,Washington,credit
00048204,09-18-2011,4001620,045.54,Gymnastics,Balance Beams,Midland,Texas,credit
00048205,03-22-2011,4001023,186.63,Winter Sports,Snowboarding,Jackson,Mississippi,credit
00048206,07-15-2011,4007911,019.04,Jumping,Pogo Sticks,Cleveland,Ohio,credit
00048207,11-05-2011,4009658,124.95,Games,Portable Electronic Games,Gresham,Oregon,credit
00048208,05-24-2011,4000129,027.40,Outdoor Recreation,Lawn Games,Washington,District of Columbia,credit
00048209,01-03-2011,4005658,047.25,Outdoor Recreation,Hunting,West Valley City,Utah,credit
00048210,05-20-2011,4009680,184.64,Games,Card Games,Rockford,Illinois,credit
00048211,07-06-2011,4003991,138.11,Indoor Games,Ping Pong,Clarksville,Tennessee,credit
00048212,01-13-2011,4005364,032.36,Water Sports,Swimming,Cincinnati,Ohio,credit
00048213,04-16-2011,4005667,111.47,Racquet Sports,Squash,Cleveland,Ohio,credit
00048214,12-26-2011,4005493,150.19,Air Sports,Hang Gliding,St. Louis  ,Missouri,credit
00048215,11-07-2011,4005483,017.44,Winter Sports,Cross-Country Skiing,Lincoln,Nebraska,credit
00048216,09-24-2011,4003000,083.82,Racquet Sports,Tennis,Las Vegas,Nevada,credit
00048217,10-05-2011,4001652,152.20,Indoor Games,Bowling,Long Beach,California,credit
00048218,08-17-2011,4000253,154.77,Team Sports,Basketball,Centennial,Colorado,credit
00048219,07-05-2011,4001744,164.88,Exercise & Fitness,Yoga & Pilates,Durham,North Carolina,credit
00048220,10-20-2011,4001028,142.92,Outdoor Recreation,Skateboarding,Clarksville,Tennessee,credit
00048221,03-12-2011,4005532,163.22,Exercise & Fitness,Yoga & Pilates,Coral Springs,Florida,credit
00048222,02-07-2011,4008333,118.08,Outdoor Recreation,Lawn Games,Springfield,Illinois,credit
00048223,03-18-2011,4001559,156.80,Exercise & Fitness,Weightlifting Gloves,Jersey City,New Jersey,credit
00048224,01-22-2011,4003729,134.19,Outdoor Play Equipment,Sandboxes,West Valley City,Utah,credit
00048225,09-08-2011,4005604,093.70,Exercise & Fitness,Weightlifting Belts,Anaheim,California,credit
00048226,08-30-2011,4005991,163.20,Water Sports,Boating,Plano,Texas,credit
